Biolog_Name,BiGG_ID,growth_experiment
2-Aminoethanol,etha,1 
2-Hydroxy Benzoic Acid,salc,1 
4-Hydroxy Benzoic Acid,4hbz,1 
5-Keto-D-Gluconic Acid,5dglcn,1 
Acetic Acid,ac,1 
_-D-Glucose,glc_A,1 
_-Hydroxy Butyric Acid,2hb,1 
_-Keto Valeric Acid,2-ketovalerate,1 
_-Keto-Butyric Acid,2obut,1 
_-Keto-Glutaric Acid,agk,1 
_-Methy-D-Glucoside,madg,1 
_-Hydroxy Butyric Acid,bhb,1 
Butyric Acid,but,1 
"D,L-Malic Acid","mal__L, mal__D",1 
D-Alanine,ala_B,1 
D-Arabinose,arab__D,1 
D-Arabitol,abt__D,1 
D-Fructose,fru,1 
D-Fucose,fuc__D,1 
D-Galactose,gal_bD,1 
D-Galacturonic Acid,galur,1 
D-Gluconic Acid,glcn,1 
D-Glucosamine,gam,1 
Dihydroxy Acetone,dha,1 
D-Lactic Acid Methyl Ester,,1 
D-Mannitol,mnl,1 
D-Mannose,man,1 
D-Melezitose,,1 
D-Raffinose,raffin,1 
D-Ribose,rib__D,1 
D-Tagatose,tag__D,1 
D-Trehalose,tre,1 
D-Xylose,xyl__D,1 
Fumaric Acid,fum,1 
_-Amino Butyric Acid,4abut,1 
_-Hydroxy Butyric Acid,ghb,1 
Gentiobiose,,1 
Glycerol,glyc,1 
Glycine,gly,1 
Glycyl-L-Proline,gly_pro__L,1 
L-Alaninamide,,1 
L-Alanine,ala__L,1 
L-Alanyl-Glycine,L_alagly,1 
Laminarin,,1 
L-Arabinose,arab__L,1 
L-Arabitol,abt__L,1 
L-Asparagine,asn__L,1 
L-Erythritol,eryth,1 
L-Fucose,fuc__L,1 
L-Galactonic Acid-_-Lactone,,1 
L-Glutamic Acid,glu__L,1 
L-Glutamine,gln__L,1 
L-Histidine,his__L,1 
L-Homoserine,hom__L,1 
L-Isoleucine,ile__L,1 
L-Lactic Acid,lac__L,1 
L-Leucine,leu__L,1 
L-Lysine,lys__L,1 
L-Lyxose,lxy__L,1 
L-Malic Acid,mal__L,1 
L-Ornithine,orn__L,1 
L-Phenylalanine,phe__L,1 
L-Proline,pro__L,1 
L-Rhamnose,rmn,1 
L-Serine,ser__L,1 
L-Sorbose,srb__L,1 
L-Threonine,thr__L,1 
L-Valine,val__L,1 
Maltitol,,1 
Maltose,malt,1 
Maltotriose,malttr,1 
Methyl Pyruvate,,1 
M-Inositol,inost,1 
Mono Methyl Succinate,,1 
N-Acetyl-D-Glucosamine,acgam,1 
Palatinose,pala,1 
Pyruvic Acid,pyr,1 
Quinic Acid,quin,1 
Salicin,salcn,1 
Sebacic Acid,,1 
Sorbic Acid,,1 
Stachyose,stchs,1 
Succinamic Acid,,1 
Succinic Acid,succ,1 
Sucrose,sucr,1 
Turanose,,1 
Xylitol,xylt,1 
"1,2-Propanediol",12ppd__R,0
"2,3-Butanediol",,0
"2,3-Butanone",,0
2-Deoxy Adenosine,dad_2,0
2-Deoxy-D-Ribose,drib,0
3-0-_-D-Galactopyranosyl-DArabinose,,0
3-Hydroxy 2-Butanone,actn__R,0
3-Methyl-D-Glucoronic Acid,,0
Acetamide,ad,0
Acetoacetic Acid,acac,0
Adenosine,and,0
Adonitol,rbt,0
_-Cyclodextrin,dextrin,0
_-D-Lactose,lcts,0
_-Hydroxy Glutaric Acid-_-lactone,,0
_-Methyl-D-Galactoside,,0
_-Methyl-D-Mannoside,,0
Amygdalin,,0
Arbutin,arby,0
_-Cyclodextrin,,0
_-D-Allose,all__D,0
_-Methyl-D-Galactoside,,0
_-Methyl-D-Glucoronic Acid,,0
_-Methyl-D-Glucoside,mbdg,0
_-Methyl-D-Xyloside,,0
Bromo Sucinic Acid,,0
Bromo Sucinic Acid,,0
Capric Acid,dca,0
Caproic Acid,hxa,0
Chondroitin Sulfate C,,0
Citraconic Acid,citac,0
Citramalic Acid,citm,0
Citric Acid,cit,0
"D,L-_-Glycerol-Phosphate",glyc3p,0
"D,L-Carnitine",crn,0
"D,L-Octopamine",,0
D-Aspartic Acid,asp__D,0
D-Cellobiose,cellb,0
_-Amino Valeric Acid,5aptn,0
Dextrin,dextrin,0
D-Fructose-6-Phosphate,,0
D-Galactonic Acid-_-lactone,,0
D-Glucosaminic Acid,,0
D-Glucose-1-Phosphate,g1p,0
